"","GENE_NAME","strand","CYTOBAND"
"SOX10","SRY (sex determining region Y)-box 10","-","hs|22q13.1"
"SMCR7L","Smith-Magenis syndrome chromosome region, candidate 7-like","+","hs|22q13.1"
"HGS","hepatocyte growth factor-regulated tyrosine kinase substrate","+","hs|17q25.3"
"DEAF1","deformed epidermal autoregulatory factor 1 (Drosophila)","-","hs|11p15.5"
"LGALS2","lectin, galactoside-binding, soluble, 2","-","hs|22q13.1"
"GNS","glucosamine (N-acetyl)-6-sulfatase","-","hs|12q14.3"
"TNRC6B","trinucleotide repeat containing 6B","+","hs|22q13.1"
"ARHGDIA","Rho GDP dissociation inhibitor (GDI) alpha","-","hs|17q25.3"
"POLR2F","polymerase (RNA) II (DNA directed) polypeptide F","+","hs|22q13.1"
"ENGASE","endo-beta-N-acetylglucosaminidase","+","hs|17q25.3"
"GCGR","glucagon receptor","+","hs|17q25.3"
"DCXR","dicarbonyl/L-xylulose reductase","-","hs|17q25.3"
"TRIOBP","TRIO and F-actin binding protein","+","hs|22q13.1"
"DDX17","DEAD (Asp-Glu-Ala-Asp) box polypeptide 17","-","hs|22q13.1"
"RPL3","ribosomal protein L3","-","hs|22q13.1"
"RASSF7","Ras association (RalGDS/AF-6) domain family (N-terminal) member 7","+","hs|11p15.5"
"CD7","CD7 molecule","-","hs|17q25.3"
"GAA","glucosidase, alpha; acid","+","hs|17q25.3"
"IFITM3","interferon induced transmembrane protein 3","-","hs|11p15.5"
"PICK1","protein interacting with PRKCA 1","+","hs|22q13.1"
"TBCD","tubulin folding cofactor D","+","hs|17q25.3"
"SIRT3","sirtuin 3","-","hs|11p15.5"
"SLC16A8","solute carrier family 16, member 8 (monocarboxylic acid transporter 3)","-","hs|22q13.1"
"AZI1","5-azacytidine induced 1","-","hs|17q25.3"
"BAIAP2","BAI1-associated protein 2","+","hs|17q25.3"
"PLA2G6","phospholipase A2, group VI (cytosolic, calcium-independent)","-","hs|22q13.1"
"SIRT7","sirtuin 7","-","hs|17q25.3"
