"Transcript.stable.ID","Strand","GENE_SYMBOL","GENE_NAME","CYTOBAND"
"ENST00000053468","-","MRPS10","mitochondrial ribosomal protein S10","hs|6p21.1"
"ENST00000053867","+","GRN","granulin","hs|17q21.31"
"ENST00000054666","+","VAMP3","vesicle-associated membrane protein 3 (cellubrevin)","hs|1p36.23"
"ENST00000054668","-","UTS2","urotensin 2","hs|1p36.23"
"ENST00000054668","-","UTS2","urotensin 2","hs|1p36.23"
"ENST00000055335","+","PPP1R3F","protein phosphatase 1, regulatory subunit 3F","hs|Xp11.23"
"ENST00000055682","-","KIAA2022","KIAA2022","hs|Xq13.3"
"ENST00000055682","-","KIAA2022","KIAA2022","hs|Xq13.3"
"ENST00000060969","-","SIKE1","suppressor of IKBKE 1","hs|1p13.2"
"ENST00000061240","+","TLL1","tolloid-like 1","hs|4q32.3"
"ENST00000062104","+","NNAT","neuronatin","hs|20q11.23"
"ENST00000064571","-","CBLN4","cerebellin 4 precursor","hs|20q13.2"
"ENST00000064778","-","FAM168A","family with sequence similarity 168, member A","hs|11q13.4"
"ENST00000072644","-","YIPF1","Yip1 domain family, member 1","hs|1p32.3"
"ENST00000072869","+","ADCK2","aarF domain containing kinase 2","hs|7q34"
"ENST00000075430","+","CTDP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1","hs|18q23"
"ENST00000075430","+","CTDP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1","hs|18q23"
"ENST00000075503","-","STYK1","serine/threonine/tyrosine kinase 1","hs|12p13.2"
"ENST00000078429","+","GNA11","guanine nucleotide binding protein (G protein), alpha 11 (Gq class)","hs|19p13.3"
"ENST00000078445","+","CREB3L3","cAMP responsive element binding protein 3-like 3","hs|19p13.3"
"ENST00000078445","+","CREB3L3","cAMP responsive element binding protein 3-like 3","hs|19p13.3"
"ENST00000083182","-","APPBP2","amyloid beta precursor protein (cytoplasmic tail) binding protein 2","hs|17q23.2"
"ENST00000083182","-","APPBP2","amyloid beta precursor protein (cytoplasmic tail) binding protein 2","hs|17q23.2"
"ENST00000084798","-","CA11","carbonic anhydrase XI","hs|19q13.33"
"ENST00000085068","-","ISOC2","isochorismatase domain containing 2","hs|19q13.42"
"ENST00000085068","-","ISOC2","isochorismatase domain containing 2","hs|19q13.42"
"ENST00000086933","-","GSC2","goosecoid homeobox 2","hs|22q11.21"
"ENST00000155093","+","ZFY","zinc finger protein, Y-linked","hs|Yp11.31"
"ENST00000155093","+","ZFY","zinc finger protein, Y-linked","hs|Yp11.31"
"ENST00000155840","+","KCNQ1","potassium voltage-gated channel, KQT-like subfamily, member 1","hs|11p15.4"
"ENST00000155926","+","TRIB2","tribbles homolog 2 (Drosophila)","hs|2p24.3"
"ENST00000155926","+","TRIB2","tribbles homolog 2 (Drosophila)","hs|2p24.3"
"ENST00000156109","-","GPKOW","G patch domain and KOW motifs","hs|Xp11.23"
"ENST00000156471","-","AQR","aquarius homolog (mouse)","hs|15q14"
"ENST00000156499","-","KLK14","kallikrein-related peptidase 14","hs|19q13.41"
"ENST00000156626","-","ST6GALNAC1","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1","hs|17q25.1"
"ENST00000156825","-","MBD3","methyl-CpG binding domain protein 3","hs|19p13.3"
"ENST00000157600","+","LMCD1","LIM and cysteine-rich domains 1","hs|3p26.1"
"ENST00000157812","+","PSMC4","proteasome (prosome, macropain) 26S subunit, ATPase, 4","hs|19q13.2"
"ENST00000158009","+","FNDC8","fibronectin type III domain containing 8","hs|17q12"
"ENST00000158166","-","CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha","hs|17p13.2"
"ENST00000158762","+","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","hs|17p13.1"
"ENST00000159060","-","NOX3","NADPH oxidase 3","hs|6q25.3"
"ENST00000159087","-","ANO8","anoctamin 8","hs|19p13.11"
"ENST00000160262","-","ICAM3","intercellular adhesion molecule 3","hs|19p13.2"
"ENST00000160740","+","CIC","capicua homolog (Drosophila)","hs|19q13.2"
"ENST00000161006","-","PRSS22","protease, serine, 22","hs|16p13.3"
"ENST00000162044","-","TMEM161A","transmembrane protein 161A","hs|19p13.11"
"ENST00000162391","+","FOXJ2","forkhead box J2","hs|12p13.31"
"ENST00000162391","+","FOXJ2","forkhead box J2","hs|12p13.31"
"ENST00000163678","+","METTL22","methyltransferase like 22","hs|16p13.2"
"ENST00000163678","+","METTL22","methyltransferase like 22","hs|16p13.2"
"ENST00000163678","+","METTL22","methyltransferase like 22","hs|16p13.2"
"ENST00000164133","+","PPP2R5B","protein phosphatase 2, regulatory subunit B', beta","hs|11q13.1"
"ENST00000164139","-","PYGM","phosphorylase, glycogen, muscle","hs|11q13.1"
"ENST00000164227","+","BCL3","B-cell CLL/lymphoma 3","hs|19q13.32"
"ENST00000164305","+","PIGB","phosphatidylinositol glycan anchor biosynthesis, class B","hs|15q21.3"
"ENST00000165086","-","NPIP","nuclear pore complex interacting protein","hs|16p13.11"
"ENST00000165524","+","PRLH","prolactin releasing hormone","hs|2q37.3"
"ENST00000166139","+","FSTL3","follistatin-like 3 (secreted glycoprotein)","hs|19p13.3"
"ENST00000166244","+","EPHA8","EPH receptor A8","hs|1p36.12"
"ENST00000166345","+","TRIP13","thyroid hormone receptor interactor 13","hs|5p15.33"
"ENST00000167106","+","VASH1","vasohibin 1","hs|14q24.3"
"ENST00000167218","-","PDCD2","programmed cell death 2","hs|6q27"
"ENST00000167586","-","KRT14","keratin 14","hs|17q21.2"
"ENST00000168712","-","FGF4","fibroblast growth factor 4","hs|11q13.3"
"ENST00000169551","+","C18orf55","chromosome 18 open reading frame 55","hs|18q22.3"
"ENST00000169551","+","C18orf55","chromosome 18 open reading frame 55","hs|18q22.3"
"ENST00000170150","+","BPIFB2","BPI fold containing family B, member 2","hs|20q11.21"
"ENST00000170447","+","MKRN2","makorin ring finger protein 2","hs|3p25.2"
"ENST00000170564","+","GPATCH1","G patch domain containing 1","hs|19q13.11"
"ENST00000170630","+","IL4R","interleukin 4 receptor","hs|16p12.1"
"ENST00000171111","-","KEAP1","kelch-like ECH-associated protein 1","hs|19p13.2"
"ENST00000171887","-","TNS1","tensin 1","hs|2q35"
"ENST00000172229","+","NGFR","nerve growth factor receptor","hs|17q21.33"
"ENST00000173229","+","NTN1","netrin 1","hs|17p13.1"
"ENST00000173229","+","NTN1","netrin 1","hs|17p13.1"
"ENST00000173527","+","ISOC1","isochorismatase domain containing 1","hs|5q23.3"
"ENST00000174618","-","MNT","MAX binding protein","hs|17p13.3"
"ENST00000175091","-","LAPTM4A","lysosomal protein transmembrane 4 alpha","hs|2p24.1"
"ENST00000175756","+","PTPN18","protein tyrosine phosphatase, non-receptor type 18 (brain-derived)","hs|2q21.1"
"ENST00000175756","+","PTPN18","protein tyrosine phosphatase, non-receptor type 18 (brain-derived)","hs|2q21.1"
"ENST00000176183","+","DRD4","dopamine receptor D4","hs|11p15.5"
"ENST00000176183","+","DRD4","dopamine receptor D4","hs|11p15.5"
"ENST00000176195","-","SCT","secretin","hs|11p15.5"
"ENST00000176643","+","ALDH3A2","aldehyde dehydrogenase 3 family, member A2","hs|17p11.2"
"ENST00000177694","+","TBX21","T-box 21","hs|17q21.32"
"ENST00000177742","-","MRPS34","mitochondrial ribosomal protein S34","hs|16p13.3"
"ENST00000178638","-","CA12","carbonic anhydrase XII","hs|15q22.2"
"ENST00000178638","-","CA12","carbonic anhydrase XII","hs|15q22.2"
"ENST00000179259","+","C12orf5","chromosome 12 open reading frame 5","hs|12p13.32"
"ENST00000180166","-","FGF20","fibroblast growth factor 20","hs|8p22"
"ENST00000182377","+","FAR2","fatty acyl CoA reductase 2","hs|12p11.22"
"ENST00000182527","-","TRAM2","translocation associated membrane protein 2","hs|6p12.2"
"ENST00000182527","-","TRAM2","translocation associated membrane protein 2","hs|6p12.2"
"ENST00000185150","+","ERLEC1","endoplasmic reticulum lectin 1","hs|2p16.2"
"ENST00000185206","-","CLIC5","chloride intracellular channel 5","hs|6p21.1"
"ENST00000186436","-","TMEM131","transmembrane protein 131","hs|2q11.2"
"ENST00000187762","+","TMEM38A","transmembrane protein 38A","hs|19p13.11"
"ENST00000187762","+","TMEM38A","transmembrane protein 38A","hs|19p13.11"
"ENST00000188312","+","ACTR6","ARP6 actin-related protein 6 homolog (yeast)","hs|12q23.1"
"ENST00000188790","-","FAP","fibroblast activation protein, alpha","hs|2q24.2"
"ENST00000189978","+","MUSK","muscle, skeletal, receptor tyrosine kinase","hs|9q31.3"
"ENST00000189978","+","MUSK","muscle, skeletal, receptor tyrosine kinase","hs|9q31.3"
"ENST00000190165","+","DMRT3","doublesex and mab-3 related transcription factor 3","hs|9p24.3"
"ENST00000190165","+","DMRT3","doublesex and mab-3 related transcription factor 3","hs|9p24.3"
"ENST00000191063","-","ANKRD16","ankyrin repeat domain 16","hs|10p15.1"
"ENST00000192314","+","GAL3ST2","galactose-3-O-sulfotransferase 2","hs|2q37.3"
"ENST00000192788","+","UHRF1BP1","UHRF1 binding protein 1","hs|6p21.31"
"ENST00000193391","-","IMPG2","interphotoreceptor matrix proteoglycan 2","hs|3q12.3"
"ENST00000194118","+","KIAA0141","KIAA0141","hs|5q31.3"
"ENST00000194130","-","SLC13A1","solute carrier family 13 (sodium/sulfate symporters), member 1","hs|7q31.32"
"ENST00000194152","+","PCDHB4","protocadherin beta 4","hs|5q31.3"
"ENST00000194155","+","PCDHB2","protocadherin beta 2","hs|5q31.3"
"ENST00000194155","+","PCDHB2","protocadherin beta 2","hs|5q31.3"
"ENST00000195173","-","SEMA5B","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B","hs|3q21.1"
"ENST00000196482","+","ZNF324","zinc finger protein 324","hs|19q13.43"
"ENST00000196489","-","ZNF416","zinc finger protein 416","hs|19q13.43"
"ENST00000196551","+","RPS5","ribosomal protein S5","hs|19q13.43"
"ENST00000196551","+","RPS5","ribosomal protein S5","hs|19q13.43"
"ENST00000197268","+","KIAA1467","KIAA1467","hs|12p13.1"
"ENST00000198767","-","RRN3","RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)","hs|16p13.11"
"ENST00000199280","+","AQP2","aquaporin 2 (collecting duct)","hs|12q13.12"
"ENST00000199389","-","EIF2AK1","eukaryotic translation initiation factor 2-alpha kinase 1","hs|7p22.1"
"ENST00000199389","-","EIF2AK1","eukaryotic translation initiation factor 2-alpha kinase 1","hs|7p22.1"
"ENST00000199448","+","EPDR1","ependymin related protein 1 (zebrafish)","hs|7p14.1"
"ENST00000199448","+","EPDR1","ependymin related protein 1 (zebrafish)","hs|7p14.1"
"ENST00000199708","+","HBQ1","hemoglobin, theta 1","hs|16p13.3"
"ENST00000199764","+","CEACAM6","carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)","hs|19q13.2"
"ENST00000199814","-","RBM22","RNA binding motif protein 22","hs|5q33.1"
"ENST00000199936","+","HSD17B2","hydroxysteroid (17-beta) dehydrogenase 2","hs|16q23.3"
"ENST00000200181","+","ITGB4","integrin, beta 4","hs|17q25.1"
"ENST00000200557","+","ADAM11","ADAM metallopeptidase domain 11","hs|17q21.31"
"ENST00000200639","-","LAMP2","lysosomal-associated membrane protein 2","hs|Xq24"
"ENST00000200652","+","SLC22A4","solute carrier family 22 (organic cation/ergothioneine transporter), member 4","hs|5q31.1"
"ENST00000200691","+","MT3","metallothionein 3","hs|16q12.2"
"ENST00000200691","+","MT3","metallothionein 3","hs|16q12.2"
"ENST00000201031","+","TFAP2C","transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)","hs|20q13.31"
"ENST00000201979","+","REM1","RAS (RAD and GEM)-like GTP-binding 1","hs|20q11.21"
"ENST00000202017","-","PDRG1","p53 and DNA-damage regulated 1","hs|20q11.21"
"ENST00000202677","-","RALGAPA2","Ral GTPase activating protein, alpha subunit 2 (catalytic)","hs|20p11.23"
"ENST00000202816","-","ESF1","ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)","hs|20p12.1"
"ENST00000203556","-","GMIP","GEM interacting protein","hs|19p13.11"
"ENST00000203629","+","LAG3","lymphocyte-activation gene 3","hs|12p13.31"
"ENST00000203630","-","MLF2","myeloid leukemia factor 2","hs|12p13.31"
"ENST00000203664","+","OTUB2","OTU domain, ubiquitin aldehyde binding 2","hs|14q32.12"
"ENST00000203664","+","OTUB2","OTU domain, ubiquitin aldehyde binding 2","hs|14q32.12"
"ENST00000204517","-","TFAP4","transcription factor AP-4 (activating enhancer binding protein 4)","hs|16p13.3"
"ENST00000204615","-","THPO","thrombopoietin","hs|3q27.1"
"ENST00000204961","+","EFNB1","ephrin-B1","hs|Xq13.1"
"ENST00000205143","+","DLL3","delta-like 3 (Drosophila)","hs|19q13.2"
"ENST00000205194","+","NAT14","N-acetyltransferase 14 (GCN5-related, putative)","hs|19q13.42"
"ENST00000205636","-","CMTM6","CKLF-like MARVEL transmembrane domain containing 6","hs|3p22.3"
"ENST00000205636","-","CMTM6","CKLF-like MARVEL transmembrane domain containing 6","hs|3p22.3"
"ENST00000205890","+","MYO15A","myosin XVA","hs|17p11.2"
"ENST00000205890","+","MYO15A","myosin XVA","hs|17p11.2"
"ENST00000205948","-","APOH","apolipoprotein H (beta-2-glycoprotein I)","hs|17q24.2"
"ENST00000206020","-","SPAG7","sperm associated antigen 7","hs|17p13.2"
"ENST00000206262","-","RGS17","regulator of G-protein signaling 17","hs|6q25.2"
"ENST00000206380","-","TMEM101","transmembrane protein 101","hs|17q21.31"
"ENST00000206451","+","PSME1","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)","hs|14q12"
"ENST00000206513","-","CEBPE","CCAAT/enhancer binding protein (C/EBP), epsilon","hs|14q11.2"
"ENST00000206595","+","G2E3","G2/M-phase specific E3 ubiquitin protein ligase","hs|14q12"
"ENST00000207870","+","XYLB","xylulokinase homolog (H. influenzae)","hs|3p22.2"
"ENST00000209668","-","ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide","hs|4q23"
"ENST00000209728","+","CDC6","cell division cycle 6 homolog (S. cerevisiae)","hs|17q21.2"
"ENST00000209875","-","CBX5","chromobox homolog 5","hs|12q13.13"
"ENST00000209875","-","CBX5","chromobox homolog 5","hs|12q13.13"
"ENST00000210187","+","RAB26","RAB26, member RAS oncogene family","hs|16p13.3"
"ENST00000210313","-","PSMD5","proteasome (prosome, macropain) 26S subunit, non-ATPase, 5","hs|9q33.2"
"ENST00000210313","-","PSMD5","proteasome (prosome, macropain) 26S subunit, non-ATPase, 5","hs|9q33.2"
"ENST00000210633","+","SEMA4G","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G","hs|10q24.31"
"ENST00000211076","+","TPSD1","tryptase delta 1","hs|16p13.3"
"ENST00000211122","-","GSTA3","glutathione S-transferase alpha 3","hs|6p12.2"
"ENST00000211314","+","TMEM14A","transmembrane protein 14A","hs|6p12.2"
"ENST00000211998","+","VCL","vinculin","hs|10q22.2"
"ENST00000214869","-","TMED1","transmembrane emp24 protein transport domain containing 1","hs|19p13.2"
"ENST00000215057","-","MZF1","myeloid zinc finger 1","hs|19q13.43"
"ENST00000215061","+","OCEL1","occludin/ELL domain containing 1","hs|19p13.11"
"ENST00000215071","+","PSMD8","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8","hs|19q13.2"
"ENST00000215095","-","STX1B","syntaxin 1B","hs|16p11.2"
"ENST00000215115","-","BCL7C","B-cell CLL/lymphoma 7C","hs|16p11.2"
"ENST00000215368","+","EFNA2","ephrin-A2","hs|19p13.3"
"ENST00000215376","-","C19orf26","chromosome 19 open reading frame 26","hs|19p13.3"
"ENST00000215530","+","FGF22","fibroblast growth factor 22","hs|19p13.3"
"ENST00000215531","-","C19orf77","chromosome 19 open reading frame 77","hs|19p13.3"
"ENST00000215565","-","NDUFB7","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa","hs|19p13.12"
"ENST00000215565","-","NDUFB7","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa","hs|19p13.12"
"ENST00000215570","-","TIMM13","translocase of inner mitochondrial membrane 13 homolog (yeast)","hs|19p13.3"
"ENST00000215574","+","CDC34","cell division cycle 34 homolog (S. cerevisiae)","hs|19p13.3"
"ENST00000215574","+","CDC34","cell division cycle 34 homolog (S. cerevisiae)","hs|19p13.3"
"ENST00000215582","+","C19orf21","chromosome 19 open reading frame 21","hs|19p13.3"
"ENST00000215587","-","POLR2E","polymerase (RNA) II (DNA directed) polypeptide E, 25kDa","hs|19p13.3"
"ENST00000215631","+","GADD45B","growth arrest and DNA-damage-inducible, beta","hs|19p13.3"
"ENST00000215631","+","GADD45B","growth arrest and DNA-damage-inducible, beta","hs|19p13.3"
"ENST00000215637","+","MADCAM1","mucosal vascular addressin cell adhesion molecule 1","hs|19p13.3"
"ENST00000215727","+","SERPIND1","serpin peptidase inhibitor, clade D (heparin cofactor), member 1","hs|22q11.21"
"ENST00000215727","+","SERPIND1","serpin peptidase inhibitor, clade D (heparin cofactor), member 1","hs|22q11.21"
"ENST00000215730","+","SNAP29","synaptosomal-associated protein, 29kDa","hs|22q11.21"
"ENST00000215730","+","SNAP29","synaptosomal-associated protein, 29kDa","hs|22q11.21"
"ENST00000215754","+","MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","hs|22q11.23"
"ENST00000215781","-","OSM","oncostatin M","hs|22q12.2"
"ENST00000215793","-","SF3A1","splicing factor 3a, subunit 1, 120kDa","hs|22q12.2"
"ENST00000215793","-","SF3A1","splicing factor 3a, subunit 1, 120kDa","hs|22q12.2"
"ENST00000215794","+","USP18","ubiquitin specific peptidase 18","hs|22q11.21"
"ENST00000215794","+","USP18","ubiquitin specific peptidase 18","hs|22q11.21"
"ENST00000215812","-","SEC14L3","SEC14-like 3 (S. cerevisiae)","hs|22q12.2"
"ENST00000215829","+","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide 18kDa","hs|22q11.23"
"ENST00000215832","-","MAPK1","mitogen-activated protein kinase 1","hs|22q11.21"
"ENST00000215855","+","CRYBB3","crystallin, beta B3","hs|22q11.23"
"ENST00000215855","+","CRYBB3","crystallin, beta B3","hs|22q11.23"
"ENST00000215885","-","PLA2G3","phospholipase A2, group III","hs|22q12.2"
"ENST00000215885","-","PLA2G3","phospholipase A2, group III","hs|22q12.2"
"ENST00000215886","-","LGALS2","lectin, galactoside-binding, soluble, 2","hs|22q13.1"
"ENST00000215906","+","ASPHD2","aspartate beta-hydroxylase domain containing 2","hs|22q12.1"
"ENST00000215906","+","ASPHD2","aspartate beta-hydroxylase domain containing 2","hs|22q12.1"
"ENST00000215919","-","PATZ1","POZ (BTB) and AT hook containing zinc finger 1","hs|22q12.2"
"ENST00000215919","-","PATZ1","POZ (BTB) and AT hook containing zinc finger 1","hs|22q12.2"
"ENST00000215957","+","MICALL1","MICAL-like 1","hs|22q13.1"
"ENST00000216036","-","RTDR1","rhabdoid tumor deletion region gene 1","hs|22q11.22"
"ENST00000216039","-","JOSD1","Josephin domain containing 1","hs|22q13.1"
"ENST00000216039","-","JOSD1","Josephin domain containing 1","hs|22q13.1"
"ENST00000216044","+","GTPBP1","GTP binding protein 1","hs|22q13.1"
"ENST00000216044","+","GTPBP1","GTP binding protein 1","hs|22q13.1"
"ENST00000216071","-","C22orf31","chromosome 22 open reading frame 31","hs|22q12.1"
"ENST00000216075","+","MIOX","myo-inositol oxygenase","hs|22q13.33"
"ENST00000216083","-","CBX6","chromobox homolog 6","hs|22q13.1"
"ENST00000216106","+","HMGXB4","HMG box domain containing 4","hs|22q12.3"
"ENST00000216115","+","BIK","BCL2-interacting killer (apoptosis-inducing)","hs|22q13.2"
"ENST00000216117","+","HMOX1","heme oxygenase (decycling) 1","hs|22q12.3"
"ENST00000216121","-","NIPSNAP1","nipsnap homolog 1 (C. elegans)","hs|22q12.2"
"ENST00000216121","-","NIPSNAP1","nipsnap homolog 1 (C. elegans)","hs|22q12.2"
"ENST00000216127","+","RASD2","RASD family, member 2","hs|22q12.3"
"ENST00000216127","+","RASD2","RASD family, member 2","hs|22q12.3"
"ENST00000216133","-","CBX7","chromobox homolog 7","hs|22q13.1"
"ENST00000216133","-","CBX7","chromobox homolog 7","hs|22q13.1"
"ENST00000216139","+","ACR","acrosin","hs|22q13.33"
"ENST00000216139","+","ACR","acrosin","hs|22q13.33"
"ENST00000216144","+","CABP7","calcium binding protein 7","hs|22q12.2"
"ENST00000216160","+","TAB1","TGF-beta activated kinase 1/MAP3K7 binding protein 1","hs|22q13.1"
"ENST00000216180","+","PNPLA3","patatin-like phospholipase domain containing 3","hs|22q13.31"
"ENST00000216181","-","MYH9","myosin, heavy chain 9, non-muscle","hs|22q12.3"
"ENST00000216181","-","MYH9","myosin, heavy chain 9, non-muscle","hs|22q12.3"
"ENST00000216187","-","FOXRED2","FAD-dependent oxidoreductase domain containing 2","hs|22q12.3"
"ENST00000216187","-","FOXRED2","FAD-dependent oxidoreductase domain containing 2","hs|22q12.3"
"ENST00000216211","+","UPK3A","uroplakin 3A","hs|22q13.31"
