"Gene","Gene_Name","Gene_Summary","GENE","CYTOBAND","Counts","UL_mean","nonUL_mean","DE","Magnitude","foldChange","GSM1667144","GSM1667145","GSM1667146","GSM336252","GSM336253","GSM336254","GSM336255","GSM336256","GSM336257","GSM336258","GSM336259","GSM336260","GSM336261","GSM336262","GSM336263","GSM336264","GSM336265","GSM336266","GSM336267","GSM336268","GSM336269","GSM336270","GSM336271","GSM336272","GSM336273","GSM336274","GSM336275","GSM336276","GSM336277","GSM336278","GSM52661","GSM52662","GSM52663","GSM52664","GSM52665","GSM52666","GSM52667","GSM52668","GSM52669","GSM52670","GSM52671","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","GSM569424","GSM569425","GSM569426","GSM569427","GSM569428","GSM1667147UL","GSM1667148UL","GSM1667149UL","GSM336202UL","GSM336203UL","GSM336204UL","GSM336205UL","GSM336206UL","GSM336207UL","GSM336208UL","GSM336209UL","GSM336210UL","GSM336211UL","GSM336212UL","GSM336213UL","GSM336214UL","GSM336215UL","GSM336216UL","GSM336217UL","GSM336218UL","GSM336219UL","GSM336220UL","GSM336221UL","GSM336222UL","GSM336223UL","GSM336224UL","GSM336225UL","GSM336226UL","GSM336227UL","GSM336228UL","GSM336229UL","GSM336230UL","GSM336231UL","GSM336232UL","GSM336233UL","GSM336234UL","GSM336235UL","GSM336236UL","GSM336237UL","GSM336238UL","GSM336239UL","GSM336240UL","GSM336241UL","GSM336242UL","GSM336243UL","GSM336244UL","GSM336245UL","GSM336246UL","GSM336247UL","GSM336248UL","GSM336249UL","GSM336250UL","GSM336251UL","GSM38689UL","GSM38690UL","GSM38691UL","GSM38692UL","GSM38693UL","GSM38694UL","GSM38695UL","GSM9093UL","GSM9094UL","GSM9095UL","GSM9096UL","GSM9097UL","GSM569429UL","GSM569430UL","GSM569431UL","GSM569432UL","GSM569433UL"
"IGF1","insulin like growth factor 1 ","
The protein encoded by this gene is similar to insulin in function and structure and is a member of a family of proteins involved in mediating growth and development. The encoded protein is processed from a precursor, bound by a specific receptor, and secreted. Defects in this gene are a cause of insulin-like growth factor I deficiency. Alternative splicing results in multiple transcript variants encoding different isoforms that may undergo similar processing to generate mature protein. [provided by RefSeq, Sep 2015",3479,"hs|12q23.2",4,904.855285714286,1035.12745098039,-130.272165266107,130.272165266107,0.874148671119947,5951.75,6274.35,9699.825,936.24,559.34,830.74,554.56,354.34,908.2,775.92,646.08,1209.84,788.62,413.48,494.88,935.84,810.1,393.82,546.94,452.38,550.64,728.1,648.5,765.28,481.56,424.34,759.88,513.8,701.2,669.48,225.825,463.2,420.575,247.425,823,385.975,732.625,341.525,844.8,821,760.375,410.05,1311.85,1063.7,653.925,730.45,166.175,562.025,287,452.125,1307.85,2744.225,3173.725,6281.3,1153.5,1315.1,1171.62,579.64,610.34,626.82,1287.66,2071.9,1298.7,462.7,417.48,805.36,888.7,995.76,844.14,1045.82,1179.62,429.12,450.14,737.3,395.96,562.66,887.76,701.46,164.04,94.82,91.02,905.26,957.1,722.8,160.16,176.14,610.36,910.34,905.5,1317.32,695.58,997.88,789.08,573.64,650.96,114,1368.96,1065.64,650.64,573.1,560.9,1320.02,595.8,1346.4,198.5,177.95,570.15,466.7,1013.225,352.75,607.825,1777.6,836.4,418.025,1210.975,1334,138.15,230.225,385.95,1512.3,673.175
"IGF1R","insulin like growth factor 1 receptor","This receptor binds insulin-like growth factor with a high affinity. It has tyrosine kinase activity. The insulin-like growth factor I receptor plays a critical role in transformation events. Cleavage of the precursor generates alpha and beta subunits. It is highly overexpressed in most malignant tissues where it functions as an anti-apoptotic agent by enhancing cell survival. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, May 2014]",3480,"hs|15q26.3",3,144.775714285714,133.725359477124,11.05035480859,11.05035480859,1.08263469884693,491,31.2,1507.1,67.56,109.6,117.3,138,116.02,102.2,127.52,94.7,125.38,78.96,119.02,104.44,113.92,91.86,86.34,148.38,97.84,114.74,126.28,131.98,136.8,150.2,107.76,111.1,111.2,92.56,102.9,74.2,58.8333333333333,61.8333333333333,53.3,40.5666666666667,138.466666666667,77.4666666666667,39.3333333333333,82.7333333333333,65.6666666666667,49.1666666666667,124.5,101.366666666667,89.5333333333333,64.1666666666667,100.833333333333,61.1333333333333,147.566666666667,102.433333333333,121.3,111.733333333333,850.133333333333,1167.03333333333,34.7666666666667,112.22,120.92,99.68,139,159.56,109.72,126.58,193.94,116.36,198.6,177.5,136.2,119.46,107.4,62.04,110.38,151.76,116.08,102.06,83.08,94.06,68.84,195.48,109.6,193.08,80,175.28,151.7,139.7,129.88,90.02,124,110.48,154.04,194.02,155.96,188.64,168.42,161.92,137.14,158.86,121.88,133.46,105.02,124.66,129.28,91.34,97.14,152.46,94.2,75.1666666666667,37.2666666666667,107.866666666667,40.6,51.3333333333333,40.7333333333333,53.2,136,120.433333333333,65.5666666666667,107.566666666667,119.333333333333,111.4,127.566666666667,55.4666666666667,161.533333333333,98.2333333333333
"INSR"," insulin receptor","This gene encodes a member of the receptor tyrosine kinase family of proteins. The encoded preproprotein is proteolytically processed to generate alpha and beta subunits that form a heterotetrameric receptor. Binding of insulin or other ligands to this receptor activates the insulin signaling pathway, which regulates glucose uptake and release, as well as the synthesis and storage of carbohydrates, lipids and protein. Mutations in this gene underlie the inherited severe insulin resistance syndromes including type A insulin resistance syndrome, Donohue syndrome and Rabson-Mendenhall syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]",3643,"hs|19p13.2",1,221.514142857143,205.786078431373,15.7280644257703,15.7280644257703,1.07642919552994,235.4,258.8,819.5,280.54,207.3,269.1,275.1,364.14,153.52,234.52,193.26,295.26,201.06,297.1,315.44,323.48,194.8,214.56,283.64,233.32,170.34,220.16,240.86,210.92,308.12,266.88,170.46,274.34,194.78,277.24,166.9,92.65,136.6,119.7,136.3,107,190.55,78.15,122.05,44.1,98.6,132.3,123.95,128.1,75.9,102.8,109.6,109.85,264,108.55,63.5,227.4,178.8,499.9,273.38,291.58,309.18,211.56,224.96,204.34,229.52,266.5,263.46,298.86,269.62,175.24,271.22,258.56,221.7,376.1,279.66,297.3,236.1,209.9,198.4,228.52,280.4,216.28,204.98,251.84,202.24,274.36,267.3,303.02,197.04,182.66,249.14,261.48,260.88,226.12,332.1,294.42,242.76,267.7,260.98,175.78,250.48,220.78,227.04,233.14,211.74,301.24,224.7,206.58,223.85,50.85,94.35,83.35,81.1,130.6,74.3,153.55,108.75,135.8,156.15,216.75,100.8,96.35,299.05,100.2,71.25
"IRS1","insulin receptor substrate 1","This gene encodes a protein which is phosphorylated by insulin receptor tyrosine kinase. Mutations in this gene are associated with type II diabetes and susceptibility to insulin resistance. [provided by RefSeq, Nov 2009]",3667,"hs|2q36.3",2,481.877857142857,228.481045751634,253.396811391223,253.396811391223,2.10904959559172,944.7,1077.55,686.65,101.333333333333,224.366666666667,158.833333333333,116.933333333333,152.266666666667,92,208.066666666667,107.266666666667,126.566666666667,144.633333333333,278.333333333333,321.8,194.666666666667,251.033333333333,204.7,342.833333333333,106.966666666667,97.9333333333333,294.866666666667,383.933333333333,114.966666666667,234.866666666667,159.566666666667,139.833333333333,143.533333333333,265.366666666667,130.766666666667,267.8,256.9,255.1,208,91.1,270.9,103.5,132.4,91.6,295,147.3,166.9,187.1,103.2,92.8,82.3,118.5,165.6,187.1,170.7,451.6,2871.45,4633.35,3188.15,195.166666666667,212.966666666667,220.9,626.5,649.966666666667,294.7,243.733333333333,446.966666666667,415.1,470.866666666667,482.766666666667,266,377.8,365.066666666667,75.5,112.6,430.566666666667,513.3,201.5,293.366666666667,193.5,280.933333333333,1054.5,411.8,90.8333333333333,239.066666666667,121.466666666667,297.733333333333,266.366666666667,298.1,244,152.433333333333,456.1,492.133333333333,647.3,534.933333333333,323.733333333333,341.233333333333,469.733333333333,202.733333333333,454,282.333333333333,283.966666666667,126.5,289.3,485.133333333333,214.666666666667,153.933333333333,229.2,177.6,155.7,389.2,546.9,221.2,271.3,297.8,269,192,259.2,293.1,212.5,219.7,657,499.1,463,626.7,754.5
"LHCGR","luteinizing hormone/choriogonadotropin receptor ","This gene encodes the receptor for both luteinizing hormone and choriogonadotropin. This receptor belongs to the G-protein coupled receptor 1 family, and its activity is mediated by G proteins which activate adenylate cyclase. Mutations in this gene result in disorders of male secondary sexual character development, including familial male precocious puberty, also known as testotoxicosis, hypogonadotropic hypogonadism, Leydig cell adenoma with precocious puberty, and male pseudohermaphtoditism with Leydig cell hypoplasia. [provided by RefSeq, Jul 2008]",3973,"hs|2p16.3",1,6.02285714285714,8.83333333333333,-2.81047619047619,2.81047619047619,0.681832884097035,10.9,7.4,7.6,3,13.7,6.3,4.7,14.4,31.4,15,7,1.2,3.3,9.1,6.7,0.7,2.9,2.5,7.7,13.2,13.8,2.8,5.6,7.3,4.1,1.6,15.4,19,1.5,2.2,11.7,1.5,14.2,8.3,5.4,3.2,5.8,3.3,0.9,7.7,1.8,31.3,3.8,14.4,25.6,4.8,15,12.3,13.5,11.9,12.1,5,12.9,8.8,3.1,1,0.9,1.1,9.6,7.2,0.9,2,4.1,0.8,10.3,3.9,2.9,1.5,8.4,3.3,8.6,0.5,2.5,0.4,4,13.5,1.6,1.4,6.1,2.8,6.2,0.9,1.9,5.1,3.1,12.1,2,1.3,6.6,7.9,3.2,19.7,2.9,0.4,6.7,0.4,1.1,2.1,10,0.3,1,10.1,0.7,1.1,10.7,8.7,5.7,12.7,5.6,3.6,3.2,13.1,17.8,3.6,9.2,27.8,12.7,14.8,13.4,12.1,11
"MC1R","melanocortin 1 receptor","This intronless gene encodes the receptor protein for melanocyte-stimulating hormone (MSH). The encoded protein, a seven pass transmembrane G protein coupled receptor, controls melanogenesis. Two types of melanin exist: red pheomelanin and black eumelanin. Gene mutations that lead to a loss in function are associated with increased pheomelanin production, which leads to lighter skin and hair color. Eumelanin is photoprotective but pheomelanin may contribute to UV-induced skin damage by generating free radicals upon UV radiation. Binding of MSH to its receptor activates the receptor and stimulates eumelanin synthesis. This receptor is a major determining factor in sun sensitivity and is a genetic risk factor for melanoma and non-melanoma skin cancer. Over 30 variant alleles have been identified which correlate with skin and hair color, providing evidence that this gene is an important component in determining normal human pigment variation. [provided by RefSeq, Jul 2008]",4157,"hs|16q24.3",2,56.3607142857143,50.5666666666667,5.79404761904762,5.79404761904762,1.11458235238723,218.7,35.55,210.55,30.9,36.8,22.2,69.8,34.7,67.1,55.4,59.6,36.7,56.6,55.7,34.7,53.3,36.5,69.4,34.5,40.4,34.1,42.8,26.9,48.5,43.4,44.3,54.7,48.6,53.8,38.6,54.4,33.5,33.8,46.2,45.3,31.5,37.5,30.5,29.5,23.7,32.6,74.5,84.7,34.8,65.3,60.6,53.3,31.8,30.8,25.6,24.2,257.05,532.7,62.7,41.2,44.6,35,41.5,45.2,33.3,24,41.5,46.2,50.7,77.7,42.8,49.8,51,39.7,40,39.3,40.2,39.4,36.8,30.7,46.1,28.9,35.6,25.6,58.5,51.4,27.4,31.7,54,46,57.7,57.2,29.2,36.6,75,29.7,110.3,54.2,40.3,63.4,50.8,38.8,37.4,63.5,28.9,44.9,56.3,103.7,48.3,42.2,39.9,37,46,50.7,60.4,12.2,50.9,43.9,80.6,58.8,75.7,47.2,41.3,30.3,26.3,27.4
"MC2R","melanocortin 2 receptor (ACTH-adrenocorticotrophic hormone)","MC2R encodes one member of the five-member G-protein associated melanocortin receptor family. Melanocortins (melanocyte-stimulating hormones and adrenocorticotropic hormone) are peptides derived from pro-opiomelanocortin (POMC). MC2R is selectively activated by adrenocorticotropic hormone, whereas the other four melanocortin receptors recognize a variety of melanocortin ligands. Mutations in MC2R can result in familial glucocorticoid deficiency. Alternate transcript variants have been found for this gene. [provided by RefSeq, May 2014]",4158,"hs|18p11.21",1,13.9152380952381,15.2732026143791,-1.35796451914099,1.35796451914099,0.911088423729642,13.6,19.5,7.9,2.43333333333333,7,10.7,3.4,6.23333333333333,9.13333333333333,8.13333333333333,17.4,8.4,14.5333333333333,8.7,4.23333333333333,12.6666666666667,10.8333333333333,5.36666666666667,2.63333333333333,13.0666666666667,6.73333333333333,18.3,14.6333333333333,17.0666666666667,13.2666666666667,12.3666666666667,26.7666666666667,15.9666666666667,9.3,6.46666666666667,18.4666666666667,9.23333333333333,20.4333333333333,27.5333333333333,18.7333333333333,26.9,6.66666666666667,29.6666666666667,9.13333333333333,11.8,10.4,31.7666666666667,13.5,14.6333333333333,28.4666666666667,14.1333333333333,47.2,27.3333333333333,31.2666666666667,28.6666666666667,26.2666666666667,9.2,7.9,46.8,6.4,9.73333333333333,12.6666666666667,9.23333333333333,11.3666666666667,9.56666666666667,4.23333333333333,9.63333333333333,12.7333333333333,8.3,9.5,20.3,6.36666666666667,2.93333333333333,13.4666666666667,10.1666666666667,7.76666666666667,6.63333333333333,11.7666666666667,6.33333333333333,7.83333333333333,12.8,8.13333333333333,3.7,6.7,4.43333333333333,4.46666666666667,8.1,3.13333333333333,2.5,3.56666666666667,23.5666666666667,17.5,6.83333333333333,8.53333333333333,13.1666666666667,8.7,26.6,7.23333333333333,6.93333333333333,11.7666666666667,6.03333333333333,16.8666666666667,16.4666666666667,3.23333333333333,5.76666666666667,14.9666666666667,15.2666666666667,16.9333333333333,11.4,14.8333333333333,11.1333333333333,15.8666666666667,25.9,11.4333333333333,27.4333333333333,28,15.2,21.8333333333333,23.2,36.3333333333333,28.4333333333333,36.7,39.0333333333333,27.3,28.2666666666667,27.0333333333333
"OXT","oxytocin/neurophysin I prepropeptide","This gene encodes a precursor protein that is processed to produce oxytocin and neurophysin I. Oxytocin is a posterior pituitary hormone which is synthesized as an inactive precursor in the hypothalamus along with its carrier protein neurophysin I. Together with neurophysin, it is packaged into neurosecretory vesicles and transported axonally to the nerve endings in the neurohypophysis, where it is either stored or secreted into the bloodstream. The precursor seems to be activated while it is being transported along the axon to the posterior pituitary. This hormone contracts smooth muscle during parturition and lactation. It is also involved in cognition, tolerance, adaptation and complex sexual and maternal behaviour, as well as in the regulation of water excretion and cardiovascular functions. [provided by RefSeq, Dec 2013]",5020,"hs|20p13",1,29.7785714285714,22.8666666666667,6.91190476190476,6.91190476190476,1.30226988754685,143,255.8,177.9,3.1,3.5,3.8,6,1.7,11,5.3,18.7,6.2,16.7,16.4,4.3,5,4.8,4.5,21.6,9.5,6.9,6.3,5.8,21.5,19.5,10.9,5.9,4.7,17.7,2.6,5.9,6.6,9.8,2.6,13.9,13.5,5.2,17.3,12.9,3.5,3,10.5,34,3.6,15.8,5.3,51.4,38.5,32.3,32.6,27.4,195.4,372.3,681,6.9,2.3,4.2,3.7,6,4,11.7,6.3,4.7,17.5,6.5,32.1,9.8,4.7,5.5,27.1,19.2,12.5,8.3,5.3,16,5.8,2.1,10.6,7.1,4.9,8,18.1,19.2,22.1,4.6,7,13.3,9.2,5,18.1,4.9,25.9,12,1.8,2.3,9.6,11.7,2.7,3.6,0.6,2.7,6.2,5,3.7,9.1,3.5,5.6,35,7.7,8.1,59.4,8.4,10.3,21.9,9.7,23.9,35.4,50.1,23.9,29.1,32.6
"PRL","prolactin","This gene encodes the anterior pituitary hormone prolactin. This secreted hormone is a growth regulator for many tissues, including cells of the immune system. It may also play a role in cell survival by suppressing apoptosis, and it is essential for lactation. Alternative splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Aug 2011]",5617,"hs|6p22.3",1,641.112857142857,65.121568627451,575.991288515406,575.991288515406,9.84486201200942,108.8,37.8,200.8,24.5,76,23.7,43.8,60.1,50.4,72.6,47.5,24,62.1,191.3,169.5,29.8,66.7,89.1,65.1,85,72.5,82.5,116.8,61.5,168,137.6,32.3,62.3,53.9,64.1,77.3,29.6,33.2,20.5,44,28.3,47.2,36.6,34.8,26.3,15.8,39,6,33.1,60.7,27,42.2,18.2,244.2,57.9,19.2,1219.9,3621.9,743.5,38.7,37.4,49.6,197.4,251.7,221.1,198.4,503.3,328.6,263.7,274.6,181.3,533.6,812.9,228.6,24.2,391.1,593.4,300.3,86.5,514.5,39.3,251,162.1,395.4,468.4,52.1,191.9,567.2,732.8,326.7,381.9,757.2,269.6,319.2,319.7,113.4,629.3,698.9,158.5,3572.5,395.1,347,51.9,246.2,10.5,74,5290.3,5919.8,6161.6,8.6,62.6,121.9,24.7,22,25.6,57.9,434.4,94.7,137.5,52.1,70.3,42.2,118.6,234.9,2593.4,256.8
"PTH","parathyroid hormone","This gene encodes a member of the parathyroid family of proteins. The encoded preproprotein is proteolytically processed to generate a protein that binds to the parathyroid hormone/parathyroid hormone-related peptide receptor and regulates blood calcium and phosphate levels. Excess production of the encoded protein, known as hyperparathyroidism, can result in hypercalcemia and kidney stones. On the other hand, defective processing of the encoded protein may lead to hypoparathyroidism, which can result in hypocalcemia and numbness. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]",5741,"hs|11p15.2",1,5.00142857142857,7.61176470588235,-2.61033613445378,2.61033613445378,0.657065577390152,7,85.3,29.1,1.1,1.1,3.2,10.6,8.2,14.8,1.6,9.6,11.7,3,3.5,0.3,3,5.8,2,8.1,8.5,2.1,0.9,16.9,9.1,0.4,3.3,8.6,2.5,7.8,6.5,2,5.1,5.3,4.3,7.7,4.8,1.3,6.1,0.7,5.4,0.7,1.6,3,1.5,5.4,1.2,12,11.2,11.1,11.1,11.1,10.4,20.4,8.8,2.1,6.3,9.7,8.4,0.6,5.5,1.1,7.2,1.6,7.9,1.8,3,1.3,0.7,8.2,8.1,5.6,3.2,2,0.2,0.8,11.5,1.9,2.1,0.6,8.2,2,1.7,4.2,0.5,4.5,1.5,2.3,1.5,0.9,12.2,7.2,2.5,5.1,0.6,9,1.4,1.4,4,16.1,0.7,7.9,7.3,1.1,2.2,1.2,3.8,0.7,13.2,7,7.1,1.5,0.9,2.3,2,4.4,0.9,11.6,11.8,11.6,11.8,11.3
"PYGM","glycogen phosphorylase, muscle associated","This gene encodes a muscle enzyme involved in glycogenolysis. Highly similar enzymes encoded by different genes are found in liver and brain. Mutations in this gene are associated with McArdle disease (myophosphorylase deficiency), a glycogen storage disease of muscle. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Sep 2009]",5837,"hs|11q13.1",2,81.815,106.375490196078,-24.5604901960784,24.5604901960784,0.76911513967356,623.3,605.1,916.55,108.2,74.5,84.3,46.4,76.9,86.7,58.7,160.2,55.8,154.3,31.1,31.6,42.3,57,130.8,45.2,80.1,57.9,47.6,73.6,136.1,27.7,44.3,87.5,85.2,133.2,95.6,33.9,32.4,71,40.3,35,50.4,60.7,64.6,59.8,4.7,36.7,47,87.2,84.1,92.7,86.4,40.3,82.1,28.8,63.9,65.4,401.45,335.6,563.3,86.6,68.3,52.5,89.8,75.3,67.8,53,63.1,73.6,60.8,70.3,49.3,36.1,53.1,29.8,41.8,37.8,35.5,102,76.4,68.5,129.9,59.9,152.4,162.5,70.4,294.4,61,38.9,50.7,45.2,38.5,61.9,69.4,61.3,67,73.3,52,36.2,69.1,46.4,39.6,82.2,45.8,53.2,119.1,94.3,73.5,86.3,46.9,27.5,36.3,76.9,35.5,23.4,59.2,59.6,11.5,59.1,72.9,91.2,91.6,40.4,42.8,25.4,24.1,76.6
"SERPINA7","serpin family A member 7","There are three proteins including thyroxine-binding globulin (TBG), transthyretin and albumin responsible for carrying the thyroid hormones thyroxine (T4) and 3,5,3'-triiodothyronine (T3) in the bloodstream. This gene encodes the major thyroid hormone transport protein, TBG, in serum. It belongs to the serpin family in genomics, but the protein has no inhibitory function like many other members of the serpin family. Mutations in this gene result in TGB deficiency, which has been classified as partial deficiency, complete deficiency, and excess, based on the level of serum TBG. Alternatively spliced transcript variants encoding different isoforms have been found, but the full-length nature of these variants has not been determined.[provided by RefSeq, Jun 2012]",6906,"hs|Xq22.3",1,12.6157142857143,13.321568627451,-0.705854341736696,0.705854341736696,0.94701417216872,6.6,12.2,6.6,1.3,11.9,19.8,12,8.1,40.1,12.3,4.9,8.2,7,6.8,14.7,11,16.2,13.8,11.2,7.9,12.8,19.2,8.4,19.4,12.9,12.9,19.8,17.7,9.4,1.6,3.6,18.4,12.4,9.3,6,17.8,4.9,17.4,18.7,11.5,16.8,11.6,4.7,2,38.5,21.6,22.8,19.9,20.2,16.4,18.2,5.7,24,8.8,22.2,5.7,1.8,8.1,6.1,24.6,4.5,18.5,6.1,7,9.3,18.2,5.1,13.2,17.9,16.4,8,7.4,10.6,1.4,13.8,16.7,6.9,9.5,4,9.7,15.9,12.5,1.8,11.5,2.1,18.3,30.3,11.7,2.4,2.3,31.9,38.3,2.1,2.7,8.1,2.4,1.9,9.2,13.6,4.8,7.4,2,5,12.4,25,16.6,19.2,23.7,14.5,20.3,13.9,8.7,3.3,17.5,40.3,17.4,23,21.8,19.3,17.6,19.2
"SLC6A2","solute carrier family 6 member 2","This gene encodes a member of the sodium:neurotransmitter symporter family. This member is a multi-pass membrane protein, which is responsible for reuptake of norepinephrine into presynaptic nerve terminals and is a regulator of norepinephrine homeostasis. Mutations in this gene cause orthostatic intolerance, a syndrome characterized by lightheadedness, fatigue, altered mentation and syncope. Alternatively spliced transcript variants encoding different isoforms have been identified in this gene.[provided by RefSeq, Feb 2010]",6530,"hs|16q12.2",2,8.00198979591837,11.1717086834734,-3.16971888755502,3.16971888755502,0.716272686894881,22.15,5.7,7.85,5.2375,7.1875,6.075,11.4125,9.475,11.5,3.4625,9.0875,4.5375,5.7125,7.25,10.1625,8.15,6.9375,9.2125,14.375,9.475,9.925,13.775,13.475,11.1,8.3375,5.35,7.9375,5.475,6.475,7.4,11.2,8.52857142857143,9.88571428571429,13.7285714285714,17.2142857142857,17.0857142857143,7.3,8.8,10.5857142857143,7.74285714285714,7.55714285714286,15.8571428571429,10.7857142857143,10.8857142857143,16.5285714285714,6.48571428571429,32.5142857142857,23.4428571428571,24.5428571428571,23.5714285714286,21.3142857142857,5.85,6.75,8.8,4.175,4.1875,6.35,3.275,6.15,5.4375,3.775,6.1625,4.75,5.55,4.8375,17.1375,5.2375,3.4,2.9125,6.0875,5.9875,4.4125,4.925,7.9625,4.1625,4.525,2.1,3.35,35.35,2.8125,9.2875,4.7875,2.9,3.4125,6.1375,8.425,10.05,4.1,5.2125,4.4875,7.175,7.55,3.5125,3.125,7.25,3.325,4.6875,4.3875,7.9125,5.6125,6.6,6.3,4.6375,5.1375,5.34285714285714,8.8,8.8,7.34285714285714,4.75714285714286,15.5142857142857,8.9,7.12857142857143,10.5285714285714,10.3142857142857,12.6285714285714,10.6714285714286,27.3714285714286,31.6,25.1142857142857,21.1857142857143,21.7142857142857
"THRA","thyroid hormone receptor alpha ","The protein encoded by this gene is a nuclear hormone receptor for triiodothyronine. It is one of the several receptors for thyroid hormone, and has been shown to mediate the biological activities of thyroid hormone. Knockout studies in mice suggest that the different receptors, while having certain extent of redundancy, may mediate different functions of thyroid hormone. Alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]",7067,"hs|17q21.1",2,397.961785714286,461.391666666667,-63.429880952381,63.429880952381,0.862524866539894,9093.5,547.35,11859.95,41.275,52.975,42.8,51.225,43.8,64.35,32.725,42.175,38.55,45.05,46.475,44.925,40.85,44.175,59.575,51.05,65.4,49.425,40.675,41.95,26.2,36.7,42.825,53.55,53.15,52.7,40.725,32.975,17,28.45,29.8,35.35,31,26.1,20.15,33.075,23.6,16.2,32.675,39.85,39.875,33.75,24.25,98.55,58.975,59.825,50.425,53.025,9802.2,14678.2,50.05,38.925,55.55,45.65,78.7,53.875,59.75,41.775,41.525,36.7,57.85,62.075,37.55,45.825,52.275,62.125,29.975,42.45,54.4,31.45,52.625,50,59.85,38.925,37.9,67.25,69.25,80.25,30.925,43.25,33.45,60.175,44.55,29.525,57.225,60.175,69.5,30.875,37.05,52.975,51.75,53.05,60.875,43.6,37.2,63.225,51.95,44.35,77.75,85.15,55.45,19.325,24.1,23.825,36.475,18.5,23.85,30.25,37.6,45.225,37.875,47.6,40.35,131.375,83.675,61.575,53.45,53.325
"TMSB4X","thymosin beta 4 X-linked","This gene encodes an actin sequestering protein which plays a role in regulation of actin polymerization. The protein is also involved in cell proliferation, migration, and differentiation. This gene escapes X inactivation and has a homolog on chromosome Y. [provided by RefSeq, Jul 2008]",7114,"hs|Xp22.2",4,10383.7146428571,9885.00098039216,498.713662464987,498.713662464987,1.05045155417326,71839.425,53841.225,37216.7,8001.8,9278.4,8992.9,10369.1,11738.4,11182.5,9748.9,9600.4,10597.6,10518.2,10237.8,9313.8,9729.7,9739.3,8349.6,8533.8,9746.8,9321,11490.3,9377.9,7739.9,8927.3,13515.3,11511,13601.6,8575,9459.1,2281.6,2191.9,2283.7,2311.1,2777.6,1998.5,2383.8,2522.9,2598.6,2345.2,3286.4,6072.6,5604.8,5811.3,6020.6,5788.5,2173.6,3171.7,3501.4,4032.3,2882.2,76851.775,57854,26295.35,9589.4,12328,9975.3,7413.1,8816.1,10514.8,9121.7,8721.5,10643.9,10754.4,9014,14054.4,7609.9,11293.2,8193.5,15241.7,9162.1,11275.1,8420.8,8362.4,7980.7,9506.5,10295.9,10319.7,5955.6,6731.3,8772.3,10182.9,9219.9,10264.5,9312.7,7013.9,10307.4,10305.2,9313.9,18710.2,11581.4,13669.8,11561.8,8996.5,10201.2,8598.4,10007.2,10512.2,14240.8,6821.6,9753.2,8434.8,6977.4,9642.1,3669,2310.2,2658,4244.7,3380,2527.1,3531.9,8239.7,4550.5,5245.6,6645.4,7453.1,1954,2496.8,2945,5285.4,3026.2
"TRH","thyrotropin releasing hormone","This gene encodes a member of the thyrotropin-releasing hormone family. Cleavage of the encoded proprotein releases mature thyrotropin-releasing hormone, which is a tripeptide hypothalamic regulatory hormone. The human proprotein contains six thyrotropin-releasing hormone tripeptides. Thyrotropin-releasing hormone is involved in the regulation and release of thyroid-stimulating hormone, as well as prolactin. Deficiency of this hormone has been associated with hypothalamic hypothyroidism. [provided by RefSeq, May 2013]",7200,"hs|3q22.1",1,11.27,27.678431372549,-16.408431372549,16.408431372549,0.407176253896288,7.3,8.4,4.6,1,3.4,6.3,9.5,6.8,4.7,28.3,2.9,9.2,8.6,10.8,14.6,1.6,13.3,12.4,44.7,5.6,65.2,3.9,20.2,4.7,7.3,15.6,8,12.7,10.8,2.1,4.5,48.1,3.2,17.2,10.7,239.8,6.1,6.2,8.9,354.2,8.1,10.8,3.5,6.3,13.6,6.9,94.4,52.8,55.6,50,56.2,6.2,4.7,8.8,21.7,18.3,1.5,15.5,3.4,4.3,11.3,8.4,1.3,13,13.8,2.7,13.7,2.3,5,8.2,12.8,2.2,13.1,6.4,3,8.3,16.8,3.2,4.1,5.7,12.4,3.5,1.8,14.5,3.7,6.8,5.3,7,2.1,2,2.3,4.2,2.2,1.4,5.8,8.2,9.2,11.7,4.2,8.4,2.3,4.6,2.8,17.3,17.6,3.3,4.6,9.4,5.1,7.7,9.7,7.7,14.8,4.5,5.6,17.8,82.5,69.4,48.9,49.7,47.2
